outcome,model,condition,primary_OR,primary_ci,primary_p,primary_holm,lenient_OR,lenient_ci,lenient_p,lenient_holm,distinct_OR,distinct_ci,distinct_p,distinct_holm,literal_OR,literal_ci,literal_p,literal_holm,mismatch_not_found_OR,mismatch_not_found_ci,mismatch_not_found_p,mismatch_not_found_holm,template_B_OR,template_B_ci,template_B_p,template_B_holm,templates_pooled_OR,templates_pooled_ci,templates_pooled_p,templates_pooled_holm,generations_pooled_OR,generations_pooled_ci,generations_pooled_p,generations_pooled_holm,tasks_pooled_OR,tasks_pooled_ci,tasks_pooled_p,tasks_pooled_holm,appellate_OR,appellate_ci,appellate_p,appellate_holm,grounded_OR,grounded_ci,grounded_p,grounded_holm
citation,sonnet,quota,0.539,0.158-1.837,0.32292,0.9688,0.539,0.158-1.837,0.32292,1.0,0.542,0.168-1.746,0.30447,0.9134,0.539,0.158-1.837,0.32292,0.9688,0.379,0.109-1.313,0.12587,0.7552,0.702,0.156-3.154,0.64405,1.0,0.582,0.164-2.071,0.4037,1.0,,,,,0.573,0.218-1.505,0.25825,0.7747,0.596,0.113-3.155,0.54303,1.0,,,,
citation,sonnet,temporal,2.735,0.771-9.706,0.11943,0.4777,2.735,0.771-9.706,0.11943,0.7166,2.733,0.831-8.99,0.0979,0.3916,2.735,0.771-9.706,0.11943,0.4777,1.277,0.317-5.151,0.73103,1.0,0.469,0.135-1.634,0.23474,1.0,1.274,0.438-3.709,0.65663,1.0,,,,,1.61,0.473-5.471,0.44583,0.8917,1.144,0.156-8.399,0.89491,1.0,,,,
citation,sonnet,stakes,2.361,0.927-6.017,0.07184,0.3592,2.361,0.927-6.017,0.07184,0.5029,2.175,0.898-5.268,0.08516,0.4258,2.361,0.927-6.017,0.07184,0.431,2.399,0.764-7.537,0.13399,0.67,0.86,0.799-0.926,6e-05,0.0005,1.634,0.732-3.647,0.23049,1.0,,,,,1.453,0.448-4.709,0.53368,0.5337,1.025,0.141-7.461,0.98084,0.9808,,,,
citation,sonnet,combo,3.32,1.03-10.703,0.04447,0.3113,3.32,1.03-10.703,0.04447,0.3558,3.589,1.202-10.717,0.02206,0.1765,3.32,1.03-10.703,0.04447,0.3113,0.756,0.195-2.93,0.68597,1.0,0.662,0.188-2.33,0.52084,1.0,1.569,0.627-3.927,0.33563,1.0,2.059,1.041-4.075,0.03807,0.1523,3.155,0.829-12.004,0.09193,0.4597,2.932,0.259-33.246,0.38524,1.0,nan,nan-nan,nan,1.0
citation,gpt54mini,quota,0.987,0.344-2.833,0.97986,0.9799,0.987,0.344-2.833,0.97986,0.9799,0.975,0.331-2.875,0.9632,0.9632,0.987,0.344-2.833,0.97986,1.0,0.832,0.34-2.036,0.68718,1.0,0.763,0.362-1.607,0.47601,0.476,0.853,0.463-1.571,0.61077,0.6108,,,,,1.187,0.86-1.639,0.29768,1.0,1.212,0.872-1.683,0.25183,1.0,,,,
citation,gpt54mini,temporal,0.369,0.148-0.923,0.03304,0.2643,0.369,0.148-0.923,0.03304,0.2313,0.333,0.133-0.835,0.01904,0.1523,0.369,0.148-0.923,0.03304,0.2643,0.32,0.142-0.721,0.00597,0.0478,0.372,0.2-0.691,0.00177,0.0142,0.376,0.225-0.63,0.0002,0.0016,,,,,0.763,0.453-1.285,0.30928,1.0,0.945,0.491-1.816,0.86427,0.8643,,,,
citation,gpt54mini,stakes,0.926,0.369-2.324,0.86948,1.0,0.926,0.369-2.324,0.86948,1.0,0.9,0.354-2.287,0.82479,1.0,0.926,0.369-2.324,0.86948,1.0,0.843,0.397-1.792,0.65699,1.0,1.83,0.824-4.065,0.13789,0.5516,1.313,0.806-2.14,0.27464,1.0,,,,,1.548,0.95-2.523,0.07934,0.476,1.718,0.963-3.064,0.06692,0.4015,,,,
citation,gpt54mini,combo,0.412,0.178-0.956,0.0389,0.2723,0.412,0.178-0.956,0.0389,0.2334,0.372,0.159-0.875,0.02337,0.1636,0.412,0.178-0.956,0.0389,0.2723,0.373,0.183-0.759,0.00652,0.0456,0.43,0.213-0.87,0.01896,0.1138,0.438,0.252-0.761,0.00341,0.0239,0.578,0.369-0.905,0.01661,0.0831,0.859,0.548-1.347,0.50865,1.0,1.064,0.626-1.807,0.81881,1.0,8.075,1.89-34.499,0.00482,0.0915
citation,llama4mav,quota,1.77,0.897-3.493,0.09951,0.4975,1.77,0.897-3.493,0.09951,0.5971,1.701,0.869-3.331,0.12127,0.6064,1.77,0.897-3.493,0.09951,0.4975,1.374,0.678-2.783,0.37817,1.0,0.688,0.283-1.676,0.41071,0.4107,1.107,0.561-2.184,0.76935,1.0,,,,,1.271,0.78-2.072,0.33534,1.0,1.059,0.546-2.056,0.86455,1.0,,,,
citation,llama4mav,temporal,0.613,0.225-1.672,0.33899,1.0,0.613,0.225-1.672,0.33899,1.0,0.711,0.279-1.813,0.47548,1.0,0.613,0.225-1.672,0.33899,1.0,0.357,0.156-0.817,0.0148,0.0888,0.595,0.178-1.984,0.39787,0.7957,0.565,0.213-1.499,0.2516,1.0,,,,,0.413,0.228-0.749,0.00361,0.0217,0.333,0.158-0.703,0.00391,0.0313,,,,
